Comment,Designator,Footprint,LCSC Part Number
"10uF","C2,C9,C4","0603","C19702"
"1uF","C7,C6,C1","0402","C52923"
"100nF","C8,C5,C3,C10","0402","C1525"
"USB_C_Receptacle_USB2.0","J2","TYPE-C-31_L8.94_W7.3","C165948"
"AO3400","Q1,Q2","SOT-23-3L","C20917"
"1k","R1","0402","C11702"
"470 Ohm","R10,R12","0402","C25167"
"10k","R6,R7,R3,R4,R5,R2,R11","0402","C25744"
"5.1k","R8,R9","0402","C25905"
"SW_SPST","SW1,SW2","SW-SMD-4_3.0x3.65x1.5P","C318893"
"STM32F030C8Tx","U2","LQFP-48_7.0x7.0x0.5P","C23922"
"ME6211C33M5G-N","U3","SOT-23-3L-5","C82942"
"CH9102F","U4","QFN-24_L4.0-W4.0-P0.50EP2.8","C2858418"
